Tower Name,Elevation,Latitude,Longitude
39 WTG 5 F6 33 KV Line,191.4,23.2415089560,69.2425000110
40 WTG 5 F6 33 KV Line,191.4,23.2415700030,69.2419839870
41 WTG 5 F6 33 KV Line,191.8,23.2416020400,69.2415930330
42 WTG 5 F6 33 KV Line,192.3,23.2421350000,69.2412949660
43 WTG 5 F6 33 KV Line,191.5,23.2424180390,69.2410980130
44 WTG 5 F6 33 KV Line,191.8,23.2428519700,69.2405800140
45 WTG 5 F6 33 KV Line,189.2,23.2432269960,69.2407169560
46 WTG 5 F6 33 KV Line,191.3,23.2432990070,69.2406469950
1 A WTG 1 F6 33 KV Line,203.3,23.2730700080,69.2712308940
2 A WTG 1 F6 33 KV Line,204.9,23.2730779920,69.2716809720
3 A WTG 1 F6 33 KV Line,208.4,23.2731080100,69.2721860440
4 A WTG 1 F6 33 KV Line,208.2,23.2725939730,69.2721660310
5 A WTG 1 F6 33 KV Line,208.1,23.2726489560,69.2719740140
1 A WTG 4 F6 33 KV Line,189.5,23.2635386410,69.2668217900
2 A WTG 4 F6 33 KV Line,192,23.2636290240,69.2673219590
3 A WTG 4 F6 33 KV Line,194.7,23.2636590280,69.2676320440
4 A WTG 4 F6 33 KV Line,192.4,23.2643930170,69.2674429570
5 A WTG 4 F6 33 KV Line,193.3,23.2643480230,69.2672889790
1  WTG 3 F6 33 KV Line,183.9,23.2602265370,69.2484546870
2  WTG 3 F6 33 KV Line,182.5,23.2604348230,69.2481226670
3  WTG 3 F6 33 KV Line,178.7,23.2607336240,69.2476734930
4  WTG 3 F6 33 KV Line,176.7,23.2613574290,69.2473422370
5  WTG 3 F6 33 KV Line,178.9,23.2617824140,69.2470692720
6  WTG 3 F6 33 KV Line,179.3,23.2621350730,69.2468352800
7  WTG 3 F6 33 KV Line,182,23.2625781380,69.2465525680
8  WTG 3 F6 33 KV Line,191.8,23.2630483020,69.2462699050
9  WTG 3 F6 33 KV Line,198.3,23.2635366090,69.2459383880
10  WTG 3 F6 33 KV Line,197.9,23.2638711530,69.2457336870
11  WTG 3 F6 33 KV Line,193.1,23.2642329190,69.2454508200
12  WTG 3 F6 33 KV Line,188.1,23.2646398500,69.2451680330
13  WTG 3 F6 33 KV Line,188.2,23.2645776400,69.2445128640
14  WTG 3 F6 33 KV Line,188.9,23.2645516970,69.2437697680
15  WTG 3 F6 33 KV Line,185.4,23.2647422850,69.2431932730
16  WTG 3 F6 33 KV Line,186.5,23.2648968150,69.2425678270
17  WTG 3 F6 33 KV Line,184.5,23.2652585300,69.2423142800
18  WTG 3 F6 33 KV Line,183,23.2656473140,69.2420803340
19  WTG 3 F6 33 KV Line,180.7,23.2659819290,69.2418267350
20  WTG 3 F6 33 KV Line,178.4,23.2660912440,69.2412305310
21  WTG 3 F6 33 KV Line,179.3,23.2662186220,69.2406343590
22  WTG 3 F6 33 KV Line,179.7,23.2663188830,69.2400479140
23  WTG 3 F6 33 KV Line,176.5,23.2664100800,69.2394810060
24  WTG 3 F6 33 KV Line,173.7,23.2665373470,69.2389532700
25  WTG 3 F6 33 KV Line,174.5,23.2663305680,69.2383076140
26  WTG 3 F6 33 KV Line,171.9,23.2661777910,69.2377891570
27  WTG 3 F6 33 KV Line,179.4,23.2655908790,69.2376316830
28  WTG 3 F6 33 KV Line,180.9,23.2649858710,69.2374937330
29  WTG 3 F6 33 KV Line,177.1,23.2643718880,69.2373166600
30  WTG 3 F6 33 KV Line,176.2,23.2638386270,69.2375210310
31  WTG 3 F6 33 KV Line,175.8,23.2632873290,69.2377058140
32  WTG 3 F6 33 KV Line,173.3,23.2627993500,69.2378320470
33  WTG 3 F6 33 KV Line,171.8,23.2626556790,69.2372647370
34  WTG 3 F6 33 KV Line,170.6,23.2628462440,69.2366882410
35  WTG 3 F6 33 KV Line,170.2,23.2630095900,69.2361899110
36  WTG 3 F6 33 KV Line,170,23.2631819830,69.2356818180
37  WTG 3 F6 33 KV Line,166.6,23.2635348730,69.2352815860
